line_idx,sent_id,para_id,sent_idx,target_type
0,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,sentence
1,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,sentence
2,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,sentence
3,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,sentence
4,squad_v2_572b8309f75d5e190021fe1b_s4,squad_v2_572b8309f75d5e190021fe1b,4,sentence
5,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,sentence
6,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,sentence
7,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,sentence
8,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,sentence
9,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,sentence
10,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,sentence
11,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,sentence
