sent_id,para_id,sent_idx,gold_salient,gold_rank_optional
squad_v2_5727ebe03acd2414000deff0_s0,squad_v2_5727ebe03acd2414000deff0,0,0,
squad_v2_5727ebe03acd2414000deff0_s1,squad_v2_5727ebe03acd2414000deff0,1,0,
squad_v2_5727ebe03acd2414000deff0_s2,squad_v2_5727ebe03acd2414000deff0,2,0,
squad_v2_5727ebe03acd2414000deff0_s3,squad_v2_5727ebe03acd2414000deff0,3,1,
squad_v2_56dff532231d4119001abf05_s0,squad_v2_56dff532231d4119001abf05,0,0,
squad_v2_56dff532231d4119001abf05_s1,squad_v2_56dff532231d4119001abf05,1,0,
squad_v2_56dff532231d4119001abf05_s2,squad_v2_56dff532231d4119001abf05,2,0,
squad_v2_56dff532231d4119001abf05_s3,squad_v2_56dff532231d4119001abf05,3,0,
squad_v2_56dff532231d4119001abf05_s4,squad_v2_56dff532231d4119001abf05,4,0,
squad_v2_56dff532231d4119001abf05_s5,squad_v2_56dff532231d4119001abf05,5,1,
squad_v2_56d61c4e1c85041400946f1d_s0,squad_v2_56d61c4e1c85041400946f1d,0,0,
squad_v2_56d61c4e1c85041400946f1d_s1,squad_v2_56d61c4e1c85041400946f1d,1,0,
squad_v2_56d61c4e1c85041400946f1d_s2,squad_v2_56d61c4e1c85041400946f1d,2,0,
squad_v2_56d61c4e1c85041400946f1d_s3,squad_v2_56d61c4e1c85041400946f1d,3,1,
squad_v2_56d61c4e1c85041400946f1d_s4,squad_v2_56d61c4e1c85041400946f1d,4,0,
squad_v2_56d61c4e1c85041400946f1d_s5,squad_v2_56d61c4e1c85041400946f1d,5,0,
squad_v2_572abec0be1ee31400cb8201_s0,squad_v2_572abec0be1ee31400cb8201,0,1,
squad_v2_572abec0be1ee31400cb8201_s1,squad_v2_572abec0be1ee31400cb8201,1,0,
squad_v2_572abec0be1ee31400cb8201_s2,squad_v2_572abec0be1ee31400cb8201,2,0,
squad_v2_572abec0be1ee31400cb8201_s3,squad_v2_572abec0be1ee31400cb8201,3,0,
