line_idx,sent_id,para_id,sent_idx,target_type,target_word,target_word_idx
0,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,Other,0
1,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,sources,1
2,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,include,2
3,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,fortified,3
4,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,food,4
5,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,and,5
6,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,dietary,6
7,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,supplements,7
8,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,which,8
9,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,come,9
10,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,in,10
11,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,various,11
12,squad_v2_572b8309f75d5e190021fe1b_s0,squad_v2_572b8309f75d5e190021fe1b,0,word,forms,12
13,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,A,0
14,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,1998,1
15,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,review,2
16,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,concluded,3
17,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,that,4
18,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,zinc,5
19,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,oxide,6
20,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,one,7
21,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,of,8
22,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,the,9
23,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,most,10
24,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,common,11
25,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,supplements,12
26,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,in,13
27,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,the,14
28,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,United,15
29,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,States,16
30,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,and,17
31,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,zinc,18
32,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,carbonate,19
33,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,are,20
34,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,nearly,21
35,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,insoluble,22
36,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,and,23
37,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,poorly,24
38,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,absorbed,25
39,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,in,26
40,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,the,27
41,squad_v2_572b8309f75d5e190021fe1b_s1,squad_v2_572b8309f75d5e190021fe1b,1,word,body,28
42,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,This,0
43,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,review,1
44,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,cited,2
45,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,studies,3
46,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,which,4
47,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,found,5
48,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,low,6
49,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,plasma,7
50,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,zinc,8
51,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,concentrations,9
52,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,after,10
53,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,zinc,11
