para_id,image_path,image_format,render_status
squad_v2_5727ebe03acd2414000deff0,data\artifacts\rst_images\squad_v2_5727ebe03acd2414000deff0.png,png,pending_real_render
squad_v2_56dff532231d4119001abf05,data\artifacts\rst_images\squad_v2_56dff532231d4119001abf05.png,png,pending_real_render
squad_v2_56d61c4e1c85041400946f1d,data\artifacts\rst_images\squad_v2_56d61c4e1c85041400946f1d.png,png,pending_real_render
squad_v2_572abec0be1ee31400cb8201,data\artifacts\rst_images\squad_v2_572abec0be1ee31400cb8201.png,png,pending_real_render
squad_v2_570602f875f01819005e786f,data\artifacts\rst_images\squad_v2_570602f875f01819005e786f.png,png,pending_real_render
squad_v2_572a60d8d562191400bc86a5,data\artifacts\rst_images\squad_v2_572a60d8d562191400bc86a5.png,png,pending_real_render
squad_v2_572a6ceb7a1753140016af36,data\artifacts\rst_images\squad_v2_572a6ceb7a1753140016af36.png,png,pending_real_render
squad_v2_5730a4e0069b5314008321f7,data\artifacts\rst_images\squad_v2_5730a4e0069b5314008321f7.png,png,pending_real_render
squad_v2_57272081708984140094da2f,data\artifacts\rst_images\squad_v2_57272081708984140094da2f.png,png,pending_real_render
squad_v2_56de98ddcffd8e1900b4ba1e,data\artifacts\rst_images\squad_v2_56de98ddcffd8e1900b4ba1e.png,png,pending_real_render
squad_v2_57265d15dd62a815002e82bf,data\artifacts\rst_images\squad_v2_57265d15dd62a815002e82bf.png,png,pending_real_render
squad_v2_56d104d117492d1400aab741,data\artifacts\rst_images\squad_v2_56d104d117492d1400aab741.png,png,pending_real_render
squad_v2_56cf578daab44d1400b8908b,data\artifacts\rst_images\squad_v2_56cf578daab44d1400b8908b.png,png,pending_real_render
squad_v2_56dede143277331400b4d77c,data\artifacts\rst_images\squad_v2_56dede143277331400b4d77c.png,png,pending_real_render
squad_v2_57070e0c9e06ca38007e9342,data\artifacts\rst_images\squad_v2_57070e0c9e06ca38007e9342.png,png,pending_real_render
squad_v2_5707070890286e26004fc807,data\artifacts\rst_images\squad_v2_5707070890286e26004fc807.png,png,pending_real_render
squad_v2_56ce3569aab44d1400b885ae,data\artifacts\rst_images\squad_v2_56ce3569aab44d1400b885ae.png,png,pending_real_render
squad_v2_57293d9e1d046914007791ce,data\artifacts\rst_images\squad_v2_57293d9e1d046914007791ce.png,png,pending_real_render
squad_v2_572812962ca10214002d9d40,data\artifacts\rst_images\squad_v2_572812962ca10214002d9d40.png,png,pending_real_render
squad_v2_5728d6633acd2414000dffe2,data\artifacts\rst_images\squad_v2_5728d6633acd2414000dffe2.png,png,pending_real_render
squad_v2_57263dd1ec44d21400f3dc99,data\artifacts\rst_images\squad_v2_57263dd1ec44d21400f3dc99.png,png,pending_real_render
squad_v2_5706117a75f01819005e7935,data\artifacts\rst_images\squad_v2_5706117a75f01819005e7935.png,png,pending_real_render
squad_v2_572685f55951b619008f757e,data\artifacts\rst_images\squad_v2_572685f55951b619008f757e.png,png,pending_real_render
squad_v2_5727ee154b864d1900164040,data\artifacts\rst_images\squad_v2_5727ee154b864d1900164040.png,png,pending_real_render
squad_v2_572ebc97dfa6aa1500f8d333,data\artifacts\rst_images\squad_v2_572ebc97dfa6aa1500f8d333.png,png,pending_real_render
squad_v2_57300a6a04bcaa1900d7705d,data\artifacts\rst_images\squad_v2_57300a6a04bcaa1900d7705d.png,png,pending_real_render
squad_v2_56cf5e35aab44d1400b89149,data\artifacts\rst_images\squad_v2_56cf5e35aab44d1400b89149.png,png,pending_real_render
squad_v2_572b6c9cf75d5e190021fdce,data\artifacts\rst_images\squad_v2_572b6c9cf75d5e190021fdce.png,png,pending_real_render
